Zone,Zone_Name,County,Latitude,Longitude
AR015,Izard,Izard,36.0949,-91.9134
AR016,Independence,Independence,35.7415,-91.5698
AR017,Lawrence,Lawrence,36.0413,-91.1071
AR018,Greene,Greene,36.1177,-90.5591
AR019,Crawford,Crawford,35.5889,-94.243
AR020,Franklin,Franklin,35.5123,-93.8906
AR021,Johnson,Johnson,35.5701,-93.4599
AR022,Pope,Pope,35.4476,-93.0342
AR023,Van Buren,Van Buren,35.5807,-92.5157
AR024,Cleburne,Cleburne,35.5381,-92.0267
AR025,Jackson,Jackson,35.5994,-91.2146
AR026,Craighead,Craighead,35.8308,-90.6328
AR027,Poinsett,Poinsett,35.574,-90.6629
AR028,Mississippi,Mississippi,35.7639,-90.054
AR029,Sebastian,Sebastian,35.1993,-94.274
AR030,Logan,Logan,35.2153,-93.7163
AR031,Conway,Conway,35.2622,-92.7014
AR032,Faulkner,Faulkner,35.147,-92.3321
AR033,White,White,35.2563,-91.7457
AR034,Woodruff,Woodruff,35.1863,-91.2431
AR035,Cross,Cross,35.2958,-90.7713
AR036,Crittenden,Crittenden,35.2079,-90.3089
AR037,Scott,Scott,34.8608,-94.0633
AR038,Yell,Yell,35.0026,-93.4113
AR039,Perry,Perry,34.9474,-92.9315
AR040,Polk,Polk,34.4858,-94.2281
AR041,Montgomery,Montgomery,34.5388,-93.6595
AR042,Garland,Garland,34.5767,-93.1504
AR043,Saline,Saline,34.6466,-92.6766
AR044,Pulaski,Pulaski,34.7699,-92.3118
AR045,Lonoke,Lonoke,34.7542,-91.8887
AR046,Prairie,Prairie,34.8297,-91.5528
AR047,Monroe,Monroe,34.6778,-91.2038
AR048,St. Francis,St. Francis,35.022,-90.7478
AR049,Lee,Lee,34.7806,-90.782
AR050,Sevier,Sevier,33.9973,-94.2412
AR051,Howard,Howard,34.0887,-93.9934
AR052,Pike,Pike,34.1636,-93.6564
AR053,Clark,Clark,34.051,-93.1764
AR054,Hot Spring,Hot Spring,34.3177,-92.946
AR055,Grant,Grant,34.29,-92.4236
AR056,Jefferson,Jefferson,34.2688,-91.9315
AR057,Arkansas,Arkansas,34.2908,-91.3749
AR058,Phillips,Phillips,34.4283,-90.848
AR059,Little River,Little River,33.7005,-94.2343
AR060,Hempstead,Hempstead,33.7354,-93.6684
AR061,Nevada,Nevada,33.6641,-93.3072
AR062,Dallas,Dallas,33.9698,-92.6545
AR063,Cleveland,Cleveland,33.8984,-92.1852
AR064,Lincoln,Lincoln,33.9575,-91.7333
AR065,Desha,Desha,33.8333,-91.254
AR066,Ouachita,Ouachita,33.5933,-92.882
AR067,Calhoun,Calhoun,33.558,-92.5031
AR068,Bradley,Bradley,33.4659,-92.1622
AR069,Drew,Drew,33.5895,-91.72
AR070,Miller,Miller,33.3124,-93.8918
AR071,Lafayette,Lafayette,33.2408,-93.6073
AR072,Columbia,Columbia,33.2143,-93.2273
AR073,Union,Union,33.1713,-92.5973
AR074,Ashley,Ashley,33.1912,-91.7679
AR075,Chicot,Chicot,33.2672,-91.294
AS001,Tutuila and Aunuu,Eastern,-14.27901,-170.657431
AS002,Manua,Manu'a,-14.328518,-169.505266
AS003,Swains Island,Swains Island,-11.084366,-171.045985
AZ001,Northwest Plateau,Mohave,36.5921,-113.3317
AZ002,Lake Havasu and Fort Mohave,Mohave,34.6762,-114.3492
AZ003,Northwest Deserts,Mohave,35.1839,-113.848
AZ004,Kaibab Plateau,Coconino,36.6514,-112.2018
AZ005,Marble and Glen Canyons,Coconino,36.7777,-111.6681
AZ006,Grand Canyon Country,Coconino,36.184,-112.3184
AZ007,Coconino Plateau,Coconino,35.7341,-112.5569
AZ008,Yavapai County  Mountains,Yavapai,34.8361,-112.6554
AZ009,Northeast Plateaus and Mesas Hwy 264 Northward,Navajo,36.4046,-110.9711
AZ010,Chinle Valley,Navajo,36.5404,-109.7068
AZ011,Chuska Mountains and Defiance Plateau,Apache,35.8693,-109.2344
AZ012,Little Colorado River Valley in Coconino County,Navajo,35.4788,-111.1876
AZ013,Little Colorado River Valley in Navajo County,Navajo,34.844,-110.3128
AZ014,Little Colorado River Valley in Apache County,Apache,34.5768,-109.4198
AZ015,Western Mogollon Rim,Coconino,35.2296,-111.7689
AZ016,Eastern Mogollon Rim,Navajo,34.4418,-110.8122
AZ017,White Mountains,Navajo,33.9272,-109.6483
AZ018,Northern Gila County,Gila,34.0401,-110.9225
AZ020,Lower Colorado River Valley AZ,La Paz,33.6128,-114.4701
AZ021,West Central Deserts,La Paz,33.8116,-113.8132
AZ022,Northwest Maricopa County,Maricopa,33.697,-112.864
AZ023,Greater Phoenix Area,Maricopa,33.5173,-112.1002
AZ024,Southern Gila/Tonto NF Foothills,Pinal,33.5759,-110.9898
